id,Title,User name,User Location,District,Participant Count,Men,Women,Children,Date of Discussion,Challenges,Solutions,Author,Organization,Language,Session Created At,Image Urls,PDF Urls,Transcript Link
"3,877",Ground realities: Education challenges and community responses,vinuta,"siddalingapur, mysuru, karnataka",Mysore,15,,,,2025-07-29,"1. The community is facing issues of child marriage that affect children's education and well-being. | 2. Children's learning progress is hindered by various factors, including lack of resources and support. | 3. The environment around the home is not conducive to children's learning, which poses a significant challenge to their academic development.",1. The problems caused by child marriage were explained to raise awareness and promote change. | 2. Parents were encouraged to visit the school frequently to check on their children's learning progress and provide necessary support. | 3. Ensuring that the home environment is conducive to children's learning by making necessary adjustments and providing resources.,120,aipie foundation,en,"July 31, 2025, 5:41 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3877/1753964274-IMG_20250731_174115.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3877/1753964246-IMG_20250731_174115.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3877/1753964289-IMG_20250731_174115.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3877/1753964262-IMG_20250731_174115.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3877/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,vbr2wkue0zulyb23wp00bmyv4jnlsoj8
"3,878",Addressing child marriage and environmental issues through community efforts.,mahadevamma,"choranahalli, mysuru, karnataka",Mysore,22,,,,2025-07-23,"1. The community is facing issues such as child marriage, which affects the education and well-being of children. | 2. The environment around the house is not clean, which can lead to health problems for the residents. | 3. The environment around the school is not clean, which affects the health and productivity of students.","1. Explain the problems caused by child marriage, create awareness and prevent it. | 2. Keeping the environment around the home clean to prevent health problems and promote a sense of community responsibility. | 3. Keeping the school surroundings clean to ensure a healthy and productive learning environment.",120,aipie foundation,en,"July 31, 2025, 5:50 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3878/1753964957-IMG_20250731_174959.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3878/1753964969-IMG_20250731_174959.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3878/1753964993-IMG_20250731_174959.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3878/1753964980-IMG_20250731_174959.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3878/ಸಮದಯದ_ಪರಯತನಗಳ_ಮಲಕ_ಬಲಯವವಹ_ಮತತ_ಪರಸರ_ಸಮಸಯಗಳನನ_ಪರಹರಸವದ..pdf,5tlz6bq3zxbjdkqtls9e23wamq0y0q9g
"3,879",Ground realities: Education challenges and community responses,shweta,"hosalli hoddy, mysuru, karnataka",Mysore,15,,,,2025-07-29,1. About child marriage | 2. About children's learning progress | 3. The environment around the house,1. Explaining the effects of child marriage | 2. Parents visit schools and inquire about their children's learning progress. | 3. Keeping the environment around the house clean,120,aipie foundation,en,"July 31, 2025, 7:47 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3879/1753971950-IMG_20250731_194555.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3879/1753972085-IMG_20250731_194555.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3879/1753972240-IMG_20250731_194555.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3879/1753972335-IMG_20250731_194555.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3879/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,ytr5j2z07w3d5bbl90hq30xe6o25q6ub
"3,902",Ground realities: Education challenges and community responses,shveta,"hunasekuppe hoddy, mysuru, karnataka",Mysore,15,,,,2025-08-01,"1. The community is concerned about the children's learning progress and the lack of resources. | 2. Due to various reasons, girls are not attending school regularly after menstruation. | 3. The school toilets are not clean and hygienic.",1. Parents frequently visit the school to check on their children's learning progress. | 2. Girls should go to school regularly after menstruation. | 3. Maintaining the cleanliness of school toilets,120,aipie foundation,en,"August 2, 2025, 1:11 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3902/1754121100-IMG_20250802_131208.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3902/1754121143-IMG_20250802_131208.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3902/1754121010-IMG_20250802_131208.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3902/1754121051-IMG_20250802_131208.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3902/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,j2eb2d53z2axkfxcx1e7s1egoivakgjm
"3,903",Ground realities: Education challenges and community responses,ashwini,"devarajnagar, mysuru, karnataka",Mysore,578,,,,2025-07-30,1. About children's learning progress | 2. About the environment around the school | 3. About the financial problem of the house | 4. About school toilet cleanliness | 5. About parents migrating and ruining their children's education,1. Parents should visit the school frequently to check on their children's academic progress. | 2. Keeping the environment around the school clean | 3. Providing employment cards to help some household members find work. | 4. Parents should not let their children's education suffer if they migrate for work.,120,aipie foundation,en,"August 2, 2025, 1:27 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3903/1754122007-IMG_20250801_221030.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3903/1754121969-IMG_20250801_221030.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3903/1754122019-IMG_20250801_221101.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3903/1754121982-IMG_20250801_221101.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3903/1754121995-IMG_20250801_221119.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3903/1754122029-IMG_20250801_221119.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3903/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,7qgxf4pf9a7ksvfc0wahhgis2srkeq1z
"3,904",Ground realities: Education challenges and community responses,ashwini,"chikanahalli, mysuru, karnataka",Mysore,78,,,,2025-07-29,1. Household members addicted to alcohol | 2. Children use mobile phones more often | 3. The environment around the school,1. Helping family members overcome alcoholism | 2. Preventing children from using mobile phones too much | 3. Keeping the environment around the school clean,120,aipie foundation,en,"August 2, 2025, 1:40 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3904/1754122648-IMG_20250802_133857.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3904/1754122662-IMG_20250802_133910.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3904/1754122729-IMG_20250802_133857.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3904/1754122832-IMG_20250802_133925.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3904/1754122690-IMG_20250802_133925.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3904/1754122770-IMG_20250802_133910.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3904/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,s2x8sj4ahocm3ehuhsbcvaguxjvgf0xu
"3,905",Ground realities: Education challenges and community responses,ashwini,"pillanahalli, mysuru, karnataka",Mysore,68,,,,2025-07-28,1. The community is facing the problem of unemployment at home. | 2. School toilet cleanliness is a major issue. | 3. Children are increasingly using mobile phones at home.,1. Prepare job cards for some members of the household and provide them with work. | 2. Keeping the school toilet clean | 3. Preventing children from using phones too much at home,120,aipie foundation,en,"August 2, 2025, 1:54 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3905/1754123737-IMG_20250802_135257.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3905/1754123626-IMG_20250802_135244.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3905/1754123695-IMG_20250802_135257.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3905/1754123725-IMG_20250802_135244.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3905/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,z4ewzvkm68iot6qjeyqix71ssvqa3y08
"3,908",Ground realities: Education challenges and community responses,ashwini,"agasana hundi, mysuru, karnataka",Mysore,78,,,,2025-07-28,1. The environment around the school is not clean. | 2. Financial problems at home affect children's education. | 3. Children are increasingly using mobile phones. | 4. The cleanliness of school toilets is a concern.,1. Keeping the environment around the school clean. | 2. Making job cards for some members of the household and helping them find work. | 3. Children should be prevented from using mobile phones too much at home. | 4. Informing students to keep the school toilet clean.,120,aipie foundation,en,"August 2, 2025, 5:33 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3908/1754136664-IMG_20250802_173210.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3908/1754136695-IMG_20250802_173224.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3908/1754136710-IMG_20250802_173210.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3908/1754136726-IMG_20250802_173224.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3908/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,fci4dhm88edxpfqqdcwufx0cc2nemxhz
"3,919","Challenges in children's education and community responses in Agasanahundi, Mysore, Karnataka",ashwini,"agasanahundi, mysuru, karnataka",Mysore,42,,,,2025-07-29,1. The cleanliness of school toilets is a major concern. | 2. Parents migrating for work affects children's education. | 3. Children's learning progress is a challenge.,1. Informing students to keep the school toilet clean. | 2. Telling parents not to take their children with them when they migrate.,120,aipie foundation,en,"August 3, 2025, 7:12 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3919/1754229087-IMG_20250803_191415.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3919/1754229162-IMG_20250803_191415.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3919/1754229187-IMG_20250803_191415.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3919/1754229202-IMG_20250803_191415.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3919/ಕರನಟಕದ_ಮಸರನ_ಅಗಸನಹಡಯಲಲ_ಮಕಕಳ_ಶಕಷಣದಲಲನ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,6bia31dck808oko6rx9ov457q4lnjag0
"3,939",Challenges in children,ashwini,"agasana hundi, mysuru, karnataka",Mysore,42,,,,2025-08-01,1. About children's learning progress | 2. About child marriage | 3. About children using mobile phones more often,1. Parents should visit the school frequently to check on their children's academic progress. | 2. Explaining the effects of child marriage | 3. Preventing children from using mobile phones too much at home,120,aipie foundation,en,"August 5, 2025, 12:22 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3939/1754377182-IMG_20250803_191415.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3939/1754377205-IMG_20250803_191415.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3939/1754377227-IMG_20250803_191415.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3939/1754377252-IMG_20250803_191415.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3939/ಮಕಕಳಲಲ_ಸವಲಗಳ.pdf,c3edat8gx8u0584jtn72s5ffosmfpqfp
"3,940",Ground realities: Education challenges and community responses,ashwini,"hosaholalu, mysuru, karnataka",Mysore,48,,,,2025-08-02,1. The community is facing issues of child marriage that affect children's education. | 2. School toilet cleanliness is a major concern for children's health and education. | 3. Children are lagging behind in their learning progress.,"1. Explain the problems caused by child marriage, create awareness about it and prevent it. | 2. Keeping the school toilet clean to ensure a healthy environment for children. | 3. Steps are being taken to ensure that children's learning progresses.",120,aipie foundation,en,"August 5, 2025, 12:34 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3940/1754377804-IMG_20250805_123658.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3940/1754377823-IMG_20250805_123658.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3940/1754377849-IMG_20250805_123658.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3940/1754377868-IMG_20250805_123658.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3940/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,vwktpm0gm6nmlx0tclx06qfwrrgd7s7c
"3,941",Ground realities: Education challenges and community responses,ashwini,"agasanahundi, mysuru, karnataka",Mysore,78,,,,2025-08-01,1. Child marriage is a major issue affecting children. | 2. The environment around the school is not clean. | 3. Unemployment problem at home.,1. Explaining the problems caused by child marriage | 2. Keeping the environment around the school clean | 3. Making employment cards available to some members of the household.,120,aipie foundation,en,"August 5, 2025, 12:45 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3941/1754378497-IMG_20250805_124431.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3941/1754378508-IMG_20250805_124419.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3941/1754378463-IMG_20250805_124419.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3941/1754378484-IMG_20250805_124431.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3941/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,zjuy7m1e5qb5xgi4sz664y53eec0bn8t
"3,942",Ground realities: Education challenges and community responses,ashwini,"marballi, mysuru, karnataka",Mysore,69,,,,2025-08-03,1. The community is facing issues of child marriage that affect children's education. | 2. There are concerns about the children's learning progress. | 3. The alcohol addiction of one member of the household is affecting the family.,1. Explaining and raising awareness about the problems caused by child marriage. | 2. Parents should visit the school frequently to check on their children's academic progress. | 3. Reducing the drinking habits of household members to create a more supportive environment.,120,aipie foundation,en,"August 5, 2025, 12:54 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3942/1754378985-IMG_20250805_125340.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3942/1754378962-IMG_20250805_125340.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3942/1754378996-IMG_20250805_125340.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3942/1754378973-IMG_20250805_125340.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3942/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,ql7hdbcn84wa2uzihjkzzki9wv2yq8b7
"3,943",Ground realities: Education challenges and community responses,ashwini,"hadanuru, mysuru, karnataka",Mysore,64,,,,2025-08-03,1. The environment around the school is not conducive to learning. | 2. Alcoholism in the family affects children's education. | 3. Unemployment in the home affects the family's ability to support children's education. | 4. Children's learning is a concern for the community.,1. Keeping the school surroundings clean to improve learning conditions. | 2. Reducing alcohol addiction among household members to create a more stable home environment. | 3. Making employment cards available to some members of the household to address the unemployment problem. | 4. Visiting schools to learn about and support children's learning.,120,aipie foundation,en,"August 5, 2025, 1:03 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3943/1754379698-IMG_20250805_130146.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3943/1754379718-IMG_20250805_130146.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3943/1754379688-IMG_20250805_130146.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3943/1754379708-IMG_20250805_130146.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3943/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,c1akq4z1l32c4z80dudkjeeqghc421hm
"3,945",Ground realities: Education challenges and community responses,ashwini,"kilanahalli, mysuru, karnataka",Mysore,18,,,,2025-07-30,1. School toilet cleanliness is a major problem. | 2. Children are increasingly using mobile phones. | 3. The environment around the house is not clean.,1. Maintaining the cleanliness of school toilets | 2. Preventing children from using mobile phones too much | 3. Keeping the environment around the house clean,120,aipie foundation,en,"August 5, 2025, 1:27 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3945/1754380935-IMG_20250805_132610.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3945/1754380946-IMG_20250805_132623.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3945/1754380955-IMG_20250805_132636.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3945/1754380968-IMG_20250805_132610.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3945/1754380978-IMG_20250805_132623.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3945/1754380991-IMG_20250805_132636.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3945/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,e71cesi6t0mfvjcm32sepg1t4rzsys67
"3,946",Ground realities: Education challenges and community responses,ashwini,"siddaramaiah naa hundi, mysuru, karnataka",Mysore,17,,,,2025-08-04,1. The community is affected by the issue of child marriage. | 2. There are concerns about children's learning. | 3. School toilet cleanliness is a big challenge.,1. Explaining the problems caused by child marriage. | 2. Raising awareness about children's learning. | 3. Maintaining the cleanliness of school toilets.,120,aipie foundation,en,"August 5, 2025, 1:37 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3946/1754381663-IMG_20250805_133608.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3946/1754381692-IMG_20250805_133608.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3946/1754381719-IMG_20250805_133608.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3946/1754381643-IMG_20250805_133608.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3946/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,0eo4rcituc4c45p3cpau1dmn2ljkwy50
"3,947",Ground realities: Education challenges and community responses,ashwini,"chaudalli, mysuru, karnataka",Mysore,14,,,,2025-08-03,1. About children's learning | 2. About child marriage | 3. About the environment around the house,1. Raising awareness about children's learning | 2. Expressing concern about child marriage | 3. Keeping the environment around the house clean,120,aipie foundation,en,"August 5, 2025, 1:48 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3947/1754382319-IMG_20250805_134758.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3947/1754382336-IMG_20250805_134758.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3947/1754382279-IMG_20250805_134758.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3947/1754382297-IMG_20250805_134758.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3947/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,1d3jnk44cq5olvoyq5cpu8lzki94ga1p
"3,948","Addressing child marriage, mobile phone use and cleanliness of school toilets in rural areas.",mahadevamma,"sindhuvalli, mysuru, karnataka",Mysore,18,,,,2025-08-04,"1. Child marriage is a significant problem in the community, leading to early school leaving and limited opportunities for girls. | 2. Children are increasingly using mobile phones, which is distracting and affecting their academic performance. | 3. School toilets are not clean, which can lead to health problems and make the learning environment uncomfortable.",1. Explaining the problems caused by child marriage can help raise awareness and prevent it. | 2. Preventing children from using their mobile phones too much will help them focus on their studies and reduce distractions. | 3. Maintaining the cleanliness of school toilets is very important to provide a healthy learning environment.,120,aipie foundation,en,"August 5, 2025, 1:58 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3948/1754382839-IMG_20250805_135722.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3948/1754407497-IMG_20250805_135722.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3948/1754382852-IMG_20250805_135722.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3948/1754382886-IMG_20250805_135722.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3948/1754407645-IMG_20250805_135722.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3948/1754382865-IMG_20250805_135722.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3948/1754407551-IMG_20250805_135722.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3948/1754407687-IMG_20250805_135722.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3948/ಗರಮಣ_ಪರದಶಗಳಲಲ_ಬಲಯವವಹ_ಮಬಲ_ಫನ_ಬಳಕ_ಮತತ_ಶಲ_ಶಚಲಯಗಳ_ಸವಚಛತಯನನ_ಉದದಶಸ..pdf,0m1iogkczmsk40cwafa5muxnzwa2noq6
"3,950",Ground realities: Education challenges and community responses,mahadevamma,"sindhuvalli, mysuru, karnataka",Mysore,18,,,,2025-08-02,1. The community is facing the problems of child marriage. | 2. The cleanliness of school toilets is a major concern. | 3. Unemployment is a significant problem at home.,1. Explaining the problems caused by child marriage. | 2. Maintaining the cleanliness of school toilets. | 3. Making job cards available to some members of the household.,120,aipie foundation,en,"August 6, 2025, 12:24 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3950/1754463820-IMG_20250805_135722.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3950/1754463842-IMG_20250805_135722.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3950/1754463925-IMG_20250805_135722.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3950/1754463943-IMG_20250805_135722.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3950/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,a7fhoeqnkdyr5q5855gp7cz50bjczuxc
"3,951",Ground realities: Education challenges and community responses,ashwini,"g m halli, mysuru, karnataka",Mysore,12,,,,2025-08-03,1. Children are increasingly using mobile phones. | 2. Child marriage is a problem | 3. School toilet cleanliness is a problem.,1. Preventing children from using mobile phones too much | 2. Explaining the problems caused by child marriage | 3. Maintaining the cleanliness of school toilets,120,aipie foundation,en,"August 6, 2025, 1:35 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3951/1754468022-IMG_20250806_133448.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3951/1754467881-IMG_20250806_133448.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3951/1754467901-IMG_20250806_133448.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3951/1754467919-IMG_20250806_133448.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3951/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,x8sbzj6f2if58m2s2m73omcqzby4toiv
"3,952",Ground realities: Education challenges and community responses,ashwini,"boppanahalli, mysuru, karnataka",Mysore,15,,,,2025-07-05,1. About the unemployment problem at home | 2. About alcohol addiction in a household member | 3. About child marriage,1. Making employment cards available to some members of the household. | 2. Getting some family members to cut down on their drinking. | 3. Explaining the problems caused by child marriage,120,aipie foundation,en,"August 6, 2025, 1:46 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3952/1754468623-IMG_20250806_134546.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3952/1754468581-IMG_20250806_134546.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3952/1754468596-IMG_20250806_134546.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3952/1754468611-IMG_20250806_134546.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3952/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,o7c4r7v78yqwj00fvgq0o7w92rtldg4d
"3,953",Challenges among girls,ashwini,"nilvaagilu, mysuru, karnataka",Mysore,11,,,,2025-08-04,1. The community is facing problems in terms of school toilet cleanliness. | 2. Child marriage is a significant problem in this region. | 3. Girls are often not sent to school after they reach puberty.,"1. Maintaining the cleanliness of school toilets to improve hygiene and comfort for students. | 2. Explain the problems caused by child marriage, prevent such practices and create awareness about them. | 3. Encourage families to send girls to school even after they reach puberty to promote education and equality.",120,aipie foundation,en,"August 6, 2025, 1:56 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3953/1754469147-IMG_20250806_135524.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3953/1754469157-IMG_20250806_135524.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3953/1754469119-IMG_20250806_135524.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3953/1754469133-IMG_20250806_135524.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3953/ಹಡಗಯರಲಲ_ಸವಲಗಳ.pdf,rkvhd8d822ww2u7jhmv81xm6nfd5mnom
"3,954",Ground realities: Education challenges and community responses,ashwini,"tumsoge, mysuru, karnataka",Mysore,10,,,,2025-08-03,1. The community is facing the problem of unemployment at home. | 2. The problem of child marriage is widespread. | 3. There are concerns about the children's learning progress.,1. Making job cards available to some members of the household. | 2. Explaining the problems caused by child marriage. | 3. Parents visit schools to check on their children's learning progress.,120,ipe aii foundation,en,"August 6, 2025, 2:04 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3954/1754469696-IMG_20250806_140421.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3954/1754469709-IMG_20250806_140421.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3954/1754469720-IMG_20250806_140421.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3954/1754469684-IMG_20250806_140421.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3954/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,zippnhczw1p2okfvfqgub14yklk3iyso
"3,957",Ground realities: Education challenges and community responses,shweta,"dammamakatte hoddy, mysuru, karnataka",Mysore,35,,,,2025-08-02,1. About child marriage | 2. About the unemployment problem at home | 3. About parents migrating with children,1. Explaining the dangers of child marriage | 2. Enabling household members to get jobs through job cards. | 3. Parents tell them to send their children to school and go to work alone. | 4. Keeping the environment around the house clean | 5. Ban on sale of alcohol in bars,120,aipie foundation,en,"August 7, 2025, 12:17 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3957/1754549856-IMG_20250802_182755.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3957/1754549869-IMG_20250802_182755.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3957/1754549881-IMG_20250802_182755.JPG | https://mohini-static.shikshalokam.org/chatbot/storymedia/3957/1754549897-IMG_20250802_182755.JPG,https://mohini-static.shikshalokam.org/chatbot/storymedia/3957/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,wqxq7sks4k3heof5h25f6dw5jkhl4ksa
